symbol,name,hashtag,handle
ACT,Achain,#Achain,@AchainOfficial
ADA,Cardano,#Cardano,@CardanoStiftung
AE,Aeternity,#Aeternity,@aetrnty
AION,Aion,#Aion,@Aion_Network
ARDR,Ardor,#Ardor,@ArdorPlatform
ARK,Ark,#Ark,@ArkEcosystem
BAT,Basic Attention Token,#BasicAttentionToken,@AttentionToken
BCC,BitConnect,#BitConnect,@bitconnect
BCH,Bitcoin Cash,#BitcoinCash,@rogerkver
BCN,Bytecoin,#Bytecoin,@Bytecoin_BCN
BNB,Binance Coin,#BinanceCoin,@binance_2017
BNT,Bancor,#Bancor,@bancornetwork
BTC,Bitcoin,#Bitcoin,@Bitcoin
BTCD,BitcoinDark,#BitcoinDark,@BitcoinDark
BTG,Bitcoin Gold,#BitcoinGold,@bitcoingold
BTM,Bytom,#Bytom,@Bytom_Official
BTS,BitShares,#BitShares,@bitshares
BTX,Bitcore,#Bitcore,@Bitcore_BTX
CND,Cindicator,#Cindicator,@Crowd_indicator
CNX,Cryptonex,#Cryptonex,@Cryptonex_CNX
COB,Cobinhood,#Cobinhood,@COBINHOOD
CVC,Civic,#Civic,@civickey
DASH,Dash,#Dash,@Dashpay
DBC,DeepBrain Chain,#DeepBrainChain,@DeepBrainChain
DCN,Dentacoin,#Dentacoin,@dentacoin
DCR,Decred,#Decred,@decredproject
DENT,Dent,#Dent,@dentcoin
DGB,DigiByte,#DigiByte,@DigiByteCoin
DGD,DigixDAO,#DigixDAO,@DigixGlobal
DOGE,Dogecoin,#Dogecoin,@dogecoin
DRGN,Dragonchain,#Dragonchain,@dragonchaingang
ECN,E-coin,#Ecoin,@ecoinclubs
ELF,aelf,#aelf,@aelfblockchain
EMC,Emercoin,#Emercoin,@emercoin_press
ENG,Enigma,#Enigma,@EnigmaMPC
ENJ,Enjin Coin,#EnjinCoin,@enjin
EOS,EOS,#EOS,@EOS_io
ETC,Ethereum Classic,#EthereumClassic,@eth_classic
ETH,Ethereum,#Ethereum,@ethereumproject
ETHOS,Ethos,#Ethos,@Ethos_io
ETN,Electroneum,#Electroneum,@electroneum
FCT,Factom,#Factom,@factom
FUN,FunFair,#FunFair,@FunFairTech
GAME,GameCredits,#GameCredits,@gamecredits
GAS,Gas,#Gas,@NEO_Blockchain
GBYTE,Byteball Bytes,#ByteballBytes,@ByteballOrg
GNO,Gnosis,#Gnosis,@gnosisPM
GNT,Golem,#Golem,@golemproject
GXS,GXShares,#GXShares,@gongxinbao
HSR,Hshare,#Hshare,@HcashOfficial
ICN,Iconomi,#Iconomi,@iconominet
ICX,ICON,#ICON,@helloiconworld
IOST,IOStoken,#IOStoken,@IOStoken
JNS,Janus,#Janus,@Janus_Token
KCS,KuCoin Shares,#KuCoinShares,@kucoincom
KIN,Kin,#Kin,@kin_foundation
KMD,Komodo,#Komodo,@KomodoPlatform
KNC,Kyber Network,#KyberNetwork,@KyberNetwork
LEND,ETHLend,#ETHLend,@ethlend1
LINK,ChainLink,#ChainLink,@Smart_Contract
LRC,Loopring,#Loopring,@loopringorg
LSK,Lisk,#Lisk,@LiskHQ
LTC,Litecoin,#Litecoin,@LitecoinProject
MAID,MaidSafeCoin,#MaidSafeCoin,@maidsafe
MED,MediBloc,#MediBloc,@_MediBloc
MIOTA,IOTA,#IOTA,@iotatoken
MKR,Maker,#Maker,@MakerDAO
MONA,MonaCoin,#MonaCoin,@monacoin2ch
NAS,Nebulas,#Nebulas,@nebulasio
NAV,NAV Coin,#NAVCoin,@NavCoin
NEBL,Neblio,#Neblio,@NeblioTeam
NEO,NEO,#NEO,@NEO_Blockchain
NXS,Nexus,#Nexus,@NxsEarth
NXT,Nxt,#Nxt,@NxtCommunity
OMG,OmiseGO,#OmiseGO,@omise_go
PAC,PACcoin,#PACcoin,@PACcoinOfficial
PART,Particl,#Particl,@ParticlProject
PAY,TenX,#TenX,@tenxwallet
PIVX,PIVX,#PIVX,@_pivx
PLR,Pillar,#Pillar,@pillarwallet
POE,Po.et,#Po.et,@_poetproject
POWR,Power Ledger,#PowerLedger,@PowerLedger_io
PPT,Populous,#Populous,@BitPopulous
QASH,QASH,#QASH,@QUOINE_SG
QSP,Quantstamp,#Quantstamp,@Quantstamp
QTUM,Qtum,#Qtum,@QtumOfficial
RDD,ReddCoin,#ReddCoin,@reddcoin
RDN,Raiden Network Token,#RaidenNetworkToken,@raiden_network
REP,Augur,#Augur,@AugurProject
REQ,Request Network,#RequestNetwork,@RequestNetwork
RHOC,RChain,#RChain,@rchain_coop
RLC,iExec RLC,#iExecRLC,@iEx_ec
RPX,Red Pulse,#RedPulse,@red_pulse_china
SALT,SALT,#SALT,@SaltLending
SAN,Santiment Network Token,#SantimentNetworkToken,@santimentfeed
SC,Siacoin,#Siacoin,@SiaTechHQ
SKY,Skycoin,#Skycoin,@Skycoinproject
SMART,SmartCash,#SmartCash,@scashofficial
SNT,Status,#Status,@ethstatus
SRN,SIRIN LABS Token,#SIRINLABSToken,@SIRINLABS
STEEM,Steem,#Steem,@steemit
STORJ,Storj,#Storj,@storjproject
STORM,Storm,#Storm,@Storm_Token
STRAT,Stratis,#Stratis,@stratisplatform
SUB,Substratum,#Substratum,@SubstratumNet
SYS,Syscoin,#Syscoin,@syscoin
TNB,Time New Bank,#TimeNewBank,@TimeNewBank
TRX,TRON,#TRON,@Tronfoundation
UCASH,U.Cash,#UCASH,@UdotCASH
USDT,Tether,#Tether,@Tether_to
UTK,UTRUST,#UTRUST,@UTRUST_Official
VEE,BLOCKv,#BLOCKv,@blockv_io
VEN,VeChain,#VeChain,@vechainofficial
VERI,Veritaseum,#Veritaseum,@Veritaseuminc
VIBE,VIBE,#VIBE,@VibeHubVR
WAVES,Waves,#Waves,@wavesplatform
WAX,WAX,#WAX,@wax_io
WTC,Walton,#Walton,@Waltonchain
XDN,DigitalNote,#DigitalNote,@XDNCommunity
XEM,NEM,#NEM,@NEMofficial
XLM,Stellar,#Stellar,@StellarOrg
XMR,Monero,#Monero,@monerocurrency
XP,Experience Points,#ExperiencePoints,@TheBigXP
XPA,XPlay,#XPlay,@Xplayico
XRB,RaiBlocks,#RaiBlocks,@raiblocks
XRP,Ripple,#Ripple,@Ripple
XVG,Verge,#Verge,@vergecurrency
XZC,ZCoin,#ZCoin,@zcoinofficial
ZCL,ZClassic,#ZClassic,@ZclassicCoin
ZEC,Zcash,#Zcash,@zcashco
ZRX,0x,#0x,@0xProject
